status,bed,bath,acre_lot,house_size,price
for_sale,3,2,0.12,920,105000
for_sale,4,2,0.08,1527,80000
for_sale,2,1,0.15,748,67000
for_sale,4,2,0.1,1800,145000
for_sale,6,2,0.05,,65000
for_sale,4,3,0.46,2520,179000
for_sale,3,1,0.2,2040,50000
for_sale,3,2,0.08,1050,71600
for_sale,2,1,0.09,1092,100000
for_sale,5,3,7.46,5403,300000
for_sale,3,2,13.39,1106,89000
for_sale,3,2,0.08,1045,150000
for_sale,3,2,0.1,4161,155000
for_sale,5,2,0.12,1620,79000
for_sale,5,5,0.74,2677,649000
for_sale,3,2,0.08,1100,120000
for_sale,4,4,0.22,3450,235000
for_sale,3,2,0.08,1500,105000
for_sale,3,2,3.88,4000,575000
for_sale,6,3,0.25,1230,140000
for_sale,2,1,0.23,621,50000
for_sale,6,3,0.1,3000,165000
for_sale,3,1,2,1213,189000
for_sale,3,2,,1148,115000
for_sale,3,2,0.05,1118,122500
for_sale,3,2,0.28,1500,255000
for_sale,4,3,0.3,3000,425000
for_sale,4,2,0.11,1300,93000
for_sale,4,2,0.04,1080,75000
for_sale,3,2,0.69,2505,469000
for_sale,6,3,1.75,1943,189000
for_sale,5,4,0.12,1600,225000
for_sale,4,2,3.08,2886,495000
for_sale,1,1,0.1,850,220000
for_sale,3,1,0.23,936,70500
for_sale,3,2,1.13,1928,305000
for_sale,4,4,4.84,3690,475000
for_sale,3,4,1.94,2500,195000
for_sale,4,2,0.24,1800,120000
for_sale,9,7,0.46,3709,650000
for_sale,5,3,0.16,3100,555000
for_sale,6,6,0.94,9297,3900000
for_sale,,,0.99,43082,400000
for_sale,,,18.45,,380000
for_sale,3,2,0.1,600,95000
for_sale,3,1,0.09,900,74000
for_sale,4,2,0.15,3000,139500
for_sale,1,1,0.26,2100,149900
for_sale,2,2,0.24,1138,180000
for_sale,3,2,0.13,1380,249000
for_sale,6,4,0.23,2500,252000
for_sale,2,1,,813,160000
for_sale,2,1,0.07,813,90000
for_sale,5,3,1.78,2962,500000
for_sale,4,2,0.1,1955,339000
for_sale,3,2,0.08,1200,265000
for_sale,6,5,0.12,6000,10000000
for_sale,3,4,2,1880,389000
for_sale,3,2,2.96,2500,575000
for_sale,,,0.88,,35000
for_sale,,,0.21,,58000
for_sale,,,21.08,,85000
for_sale,,,0.57,,47000
for_sale,3,3,,2715,720000
for_sale,7,5,0.31,2775,375000
for_sale,,,0.65,,50000
for_sale,,6,0.06,,3250000
for_sale,,,0.24,,39500
for_sale,,,33.35,,249500
for_sale,5,3,8.74,5517,1399000
for_sale,6,5,0.1,2400,600000
for_sale,,,2.64,,649000
for_sale,2,1,,951,189000
for_sale,,,1.46,,150000
for_sale,,,0.21,,74000
for_sale,,,0.28,,65500
for_sale,,,0.28,,67500
for_sale,,,0.21,,74000
for_sale,,,0.42,,130000
for_sale,,,0.37,,95000
for_sale,,,0.23,,329000
for_sale,,,0.68,,130000
for_sale,,,0.25,,94770
for_sale,,,0.38,,150000
for_sale,,,0.4,,165000
for_sale,3,2,0.22,2070,215000
for_sale,3,2,0.05,1184,63000
for_sale,3,2,0.22,1900,215000
for_sale,3,1,0.2,980,115000
for_sale,4,2,0.89,1408,99000
for_sale,5,5,0.62,8460,850000
for_sale,3,2,0.11,1116,140000
for_sale,4,3,0.26,3734,499000
for_sale,3,2,0.17,1500,180000
for_sale,6,3,0.49,2618,225900
for_sale,4,2,0.12,1760,260000
for_sale,,,0.13,,31179
for_sale,4,3,0.33,2950,500000
for_sale,3,2,0.21,1565,225000
